County/City,Ward,Pct,"Hillary R. Clinton","Donald J. Trump","Gary Johnson","Evan McMullin","Jill Stein","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian,Independent,Green
"Brunswick County",-,Provisional,8,0,0,0,0,1,9
"Buchanan County",-,"102 - Blackey",52,342,2,1,0,0,397
"Buchanan County",-,"103 - Hurley",105,746,5,4,2,3,865
"Buchanan County",-,"201 - Grassy",27,73,2,0,0,0,102
"Buchanan County",-,"202 - Bull",83,434,8,3,1,3,532
"Buchanan County",-,"203 - Rocklick",89,496,7,3,0,2,597
"Buchanan County",-,"301 - Slate",134,537,5,3,2,2,683
"Buchanan County",-,"302 - North Grundy",109,467,9,5,8,1,599
"Buchanan County",-,"403 - South Grundy",140,662,20,14,2,2,840
"Buchanan County",-,"404 - Oakwood",13,57,2,0,0,0,72
"Buchanan County",-,"501 - Prater",117,412,9,1,1,1,541
"Buchanan County",-,"502 - Fox",55,102,1,1,0,0,159
"Buchanan County",-,"503 - Vansant",96,415,10,4,3,3,531
"Buchanan County",-,"601 - Council",75,277,4,0,0,0,356
"Buchanan County",-,"602 - Garden",88,404,6,3,0,1,502
"Buchanan County",-,"603 - Hurricane",88,244,2,1,1,2,338
"Buchanan County",-,"701 - Whitewood",139,517,5,6,1,2,670
"Buchanan County",-,"702 - Contrary",69,435,13,2,0,0,519
"Buchanan County",-,"Ab - Central Absentee Precinct",242,674,12,8,3,3,942
"Buchanan County",-,Provisional,0,2,0,0,0,0,2
"Buckingham County",-,"101 - New Canton",437,488,14,5,1,2,947
"Buckingham County",-,"102 - Georgia Creek",82,159,2,2,1,2,248
"Buckingham County",-,"201 - White Hall",287,294,3,5,0,1,590
"Buckingham County",-,"301 - Curdsville",243,411,9,9,1,10,683
"Buckingham County",-,"302 - New Store",124,368,9,3,1,1,506
"Buckingham County",-,"401 - Maysville",406,638,19,11,5,1,"1,080"
"Buckingham County",-,"501 - Wrights",145,318,6,4,2,2,477
"Buckingham County",-,"502 - Glenmore",300,306,9,7,9,2,633
"Buckingham County",-,"601 - Slate River",549,355,22,1,2,7,936
"Buckingham County",-,"701 - Gold Hill",327,334,5,6,1,1,674
"Buckingham County",-,"Ab - Central Absentee Precinct",228,278,4,5,4,1,520
"Buckingham County",-,Provisional,0,1,0,0,0,0,1
"Buena Vista City",-,"1 - First Ward",365,825,33,58,8,4,"1,293"
"Buena Vista City",-,"2 - Second Ward",328,605,50,116,5,10,"1,114"
"Buena Vista City",-,Provisional,0,0,0,0,0,0,0
"Campbell County",-,"101 - Brookville",440,"1,528",49,49,12,7,"2,085"
"Campbell County",-,"102 - New London",420,"1,629",72,40,12,8,"2,181"
"Campbell County",-,"201 - Walker",421,"1,181",53,46,8,19,"1,728"
"Campbell County",-,"202 - Bedford Springs",425,"1,650",60,34,4,14,"2,187"
"Campbell County",-,"301 - Evington",175,573,17,5,0,2,772
"Campbell County",-,"302 - Otter River",163,546,11,11,2,3,736
"Campbell County",-,"303 - Altavista",653,"1,135",59,15,7,13,"1,882"
"Campbell County",-,"401 - Three Forks",216,"1,000",20,13,4,3,"1,256"
"Campbell County",-,"402 - Court House",447,"1,721",62,26,4,14,"2,274"
"Campbell County",-,"501 - Spring Hill",424,"1,722",73,55,11,14,"2,299"
"Campbell County",-,"502 - Yellow Branch",371,921,29,17,4,3,"1,345"
"Campbell County",-,"601 - Kings",401,"1,025",43,26,3,0,"1,498"
"Campbell County",-,"602 - Concord",474,"1,420",39,22,11,9,"1,975"
"Campbell County",-,"701 - Brookneal",348,696,10,3,5,5,"1,067"
"Campbell County",-,"702 - Gladys",462,"1,039",10,12,4,4,"1,531"
"Campbell County",-,"703 - Morris Church",173,454,11,10,2,6,656
"Campbell County",-,"Ab - Central Absentee Precinct",648,"1,293",47,35,9,10,"2,042"
"Campbell County",-,Provisional,3,18,0,0,0,0,21
"Caroline County",-,"101 - Bowling Green",387,715,35,17,6,6,"1,166"
"Caroline County",-,"102 - Sparta",328,558,9,5,6,5,911
"Caroline County",-,"201 - North Madison",476,495,31,12,8,5,"1,027"
"Caroline County",-,"202 - South Madison",469,723,44,19,15,0,"1,270"
"Caroline County",-,"301 - Port Royal",217,361,11,13,6,612,"1,220"
"Caroline County",-,"302 - Woodford",617,769,28,15,11,7,"1,447"
"Caroline County",-,"401 - Dawn",990,651,52,8,6,0,"1,707"
"Caroline County",-,"402 - Carmel Church",355,214,13,4,2,6,594
"Caroline County",-,"501 - West Mattaponi",666,451,19,13,9,4,"1,162"
"Caroline County",-,"502 - Milford",403,498,15,12,4,3,935
"Caroline County",-,"601 - Chilesburg",525,603,50,15,9,4,"1,206"
"Caroline County",-,"602 - Lake",338,475,26,8,4,6,857
"Caroline County",-,"Ab - Central Absentee Precinct",654,630,35,13,13,5,"1,350"
"Caroline County",-,Provisional,7,4,0,0,0,0,11
"Carroll County",-,"101 - Mt Bethel",92,426,7,0,6,1,532
"Carroll County",-,"102 - St Paul",104,618,10,6,2,6,746
"Carroll County",-,"103 - Lambsburg",70,331,5,5,1,1,413
"Carroll County",-,"105 - Fancy Gap",119,446,12,4,3,9,593
"Carroll County",-,"201 - Hillsville B",309,"1,014",24,10,12,5,"1,374"
"Carroll County",-,"202 - Laurel Fork",100,387,8,3,3,7,508
"Carroll County",-,"203 - Gladesboro",161,549,10,5,4,3,732
"Carroll County",-,"301 - Hillsville C",334,"1,216",23,9,8,8,"1,598"
"Carroll County",-,"302 - Sylvatus",99,477,13,3,2,2,596
"Carroll County",-,"303 - Dugspur",42,253,2,2,2,3,304
"Carroll County",-,"402 - Woodlawn D",226,893,30,11,8,5,"1,173"
"Carroll County",-,"403 - Oakland D",98,505,11,5,3,2,624
"Carroll County",-,"405 - Oakland A",106,428,11,2,4,0,551
"Carroll County",-,"406 - Woodlawn F",38,159,3,1,0,1,202
"Carroll County",-,"501 - Vaughan",56,329,8,2,1,0,396
"Carroll County",-,"502 - Gladeville",148,805,14,4,3,10,984
"Carroll County",-,"503 - Woodlawn E",79,446,6,1,1,0,533
"Carroll County",-,"504 - Laurel",91,491,8,1,5,2,598
"Carroll County",-,"Ab - Central Absentee Precinct",285,880,15,14,1,4,"1,199"
"Carroll County",-,Provisional,2,10,0,0,0,0,12
"Charles City County",-,"101 - Precinct 1-1",635,545,30,8,6,5,"1,229"
"Charles City County",-,"201 - Precinct 2-1",749,340,15,6,4,3,"1,117"
"Charles City County",-,"301 - Precinct 3-1",668,441,15,16,5,4,"1,149"
"Charles City County",-,"Ab - Central Absentee Precinct",444,149,7,9,0,2,611
"Charles City County",-,Provisional,0,1,0,0,0,0,1
"Charlotte County",-,"101 - County Seat",324,511,19,7,1,1,863
"Charlotte County",-,"201 - Red Oak Wylliesburg",305,492,8,4,3,0,812
"Charlotte County",-,"302 - Drakes Branch",233,404,12,5,1,1,656
"Charlotte County",-,"401 - Keysville",274,505,20,7,2,4,812
"Charlotte County",-,"501 - Cullen/Red House",269,451,7,4,0,1,732
"Charlotte County",-,"602 - Phenix",247,548,15,3,1,2,816
"Charlotte County",-,"702 - Bacon/Saxe",291,373,17,6,1,4,692
"Charlotte County",-,"Ab - Central Absentee Precinct",212,195,13,2,2,1,425
"Charlotte County",-,Provisional,0,0,0,0,0,0,0
"Charlottesville City",-,"101 - Recreation","1,952",369,78,34,31,25,"2,489"
"Charlottesville City",-,"102 - Clark","1,967",334,77,45,34,19,"2,476"
"Charlottesville City",-,"201 - Carver","1,778",172,67,27,21,16,"2,081"
"Charlottesville City",-,"202 - Walker","1,977",485,86,52,36,24,"2,660"
"Charlottesville City",-,"301 - Benjamin Tonsler","1,702",184,61,37,18,12,"2,014"
"Charlottesville City",-,"302 - Johnson","1,876",425,96,64,16,26,"2,503"
"Charlottesville City",-,"303 - Buford","1,265",155,74,26,12,15,"1,547"
"Charlottesville City",-,"401 - Venable","1,312",219,90,30,8,16,"1,675"
"Charlottesville City",-,"402 - Alumni Hall","1,300",265,70,35,17,35,"1,722"
"Charlottesville City",-,"Ab - Central Absentee Precinct","2,736",343,85,31,37,25,"3,257"
"Charlottesville City",-,Provisional,36,9,1,2,0,0,48
"Chesapeake City",-,"1 - Great Bridge (CD 4)",536,"1,135",84,14,7,13,"1,789"
"Chesapeake City",-,"2 - Bethel (CD 4)",316,"1,302",61,17,7,7,"1,710"
"Chesapeake City",-,"3 - Camelot (CD 3)","1,802",137,22,11,18,6,"1,996"
"Chesapeake City",-,"4 - Churchland (CD 3)",407,857,61,14,8,7,"1,354"
"Chesapeake City",-,"5 - Crestwood (CD 3)","1,340",183,28,12,12,3,"1,578"
"Chesapeake City",-,"6 - Deep Creek (CD 4)","1,360","1,421",117,30,10,19,"2,957"
"Chesapeake City",-,"7 - Greenbrier (CD 4)",693,"1,153",66,34,8,16,"1,970"
"Chesapeake City",-,"8 - South Norfolk Recreation (CD 3)",897,868,41,19,12,12,"1,849"
"Chesapeake City",-,"9 - Bells Mill (CD 4)",900,"1,835",101,28,16,18,"2,898"
"Chesapeake City",-,"10 - Oscar Smith (CD 3)",390,424,48,10,4,7,883
"Chesapeake City",-,"11 - Geneva Park (CD 3)",606,834,56,9,8,7,"1,520"
"Chesapeake City",-,"12 - Georgetown (CD 3)","1,170",211,17,6,10,6,"1,420"
"Chesapeake City",-,"13 - Gilmerton (CD 3)",622,817,54,22,14,6,"1,535"
"Chesapeake City",-,"14 - Grassfield (CD 4)",159,317,8,6,2,5,497
"Chesapeake City",-,"15 - B M Williams (CD 3)",909,606,43,18,18,3,"1,597"
"Chesapeake City",-,"16 - Hickory Grove (CD 4)",446,"1,358",49,17,11,6,"1,887"
"Chesapeake City",-,"17 - Indian Creek (CD 4)",255,964,41,8,9,7,"1,284"
"Chesapeake City",-,"18 - Indian River (CD 3)",820,426,63,18,13,4,"1,344"
"Chesapeake City",-,"19 - Jolliff (CD 3)",0,0,0,0,0,0,0
"Chesapeake City",-,"19 - Jolliff (CD 4)",354,791,47,17,5,7,"1,221"
"Chesapeake City",-,"20 - E W Chittum (CD 3)",3,9,1,0,0,0,13
"Chesapeake City",-,"20 - E W Chittum (CD 4)",728,"1,030",53,14,9,10,"1,844"
"Chesapeake City",-,"21 - Fellowship (CD 3)",673,988,54,17,5,10,"1,747"
"Chesapeake City",-,"22 - Norfolk Highlands (CD 3)",434,691,40,11,8,10,"1,194"
"Chesapeake City",-,"23 - Oak Grove (CD 4)",853,750,58,25,14,15,"1,715"
"Chesapeake City",-,"24 - Oaklette (CD 3)",887,638,49,19,22,9,"1,624"
"Chesapeake City",-,"25 - St Julians (CD 3)",430,417,31,7,5,6,896
"Chesapeake City",-,"26 - Johnson Park (CD 3)",508,249,22,8,10,9,806
"Chesapeake City",-,"27 - Silverwood (CD 3)",768,"1,154",67,25,19,20,"2,053"
"Chesapeake City",-,"28 - Sunray I (CD 4)",54,182,9,0,0,3,248
"Chesapeake City",-,"29 - Tanglewood (CD 3)",385,949,52,21,11,6,"1,424"
"Chesapeake City",-,"30 - South Norfolk (CD 3)",805,35,10,2,8,1,861
"Chesapeake City",-,"31 - Carver School (CD 3)","1,457",282,27,6,11,4,"1,787"
"Chesapeake City",-,"32 - Providence (CD 3)","1,926",103,18,6,9,9,"2,071"
"Chesapeake City",-,"33 - Westover (CD 3)",345,559,29,11,9,10,963
"Chesapeake City",-,"34 - Hickory Middle School (CD 4)",536,"1,682",102,23,14,26,"2,383"
"Chesapeake City",-,"35 - Taylor Road (CD 3)",725,335,42,15,9,5,"1,131"
"Chesapeake City",-,"36 - Great Bridge Baptist Church (CD 4)",762,"1,577",76,24,15,14,"2,468"
"Chesapeake City",-,"37 - Bridgetown (CD 4)",477,832,63,12,5,6,"1,395"
"Chesapeake City",-,"38 - Bailey Creek (CD 3)",399,"1,049",62,20,7,14,"1,551"
"Chesapeake City",-,"39 - Lake Drummond (CD 4)",195,490,27,6,5,6,729
"Chesapeake City",-,"40 - River Birch (CD 3)","1,028",904,74,25,8,13,"2,052"
"Chesapeake City",-,"41 - John T West (CD 4)","1,206","1,090",78,36,22,23,"2,455"
"Chesapeake City",-,"42 - Parkways (CD 3)",820,613,44,20,10,9,"1,516"
"Chesapeake City",-,"43 - Pleasant Crossing (CD 4)",334,"1,009",49,17,7,10,"1,426"
"Chesapeake City",-,"44 - Nansemond (CD 3)",613,516,19,9,6,4,"1,167"
"Chesapeake City",-,"45 - Sunray Ii (CD 3)",0,0,0,0,0,0,0
"Chesapeake City",-,"45 - Sunray II (CD 4)",356,210,15,5,5,3,594
"Chesapeake City",-,"46 - Bells Mill II (CD 4)",574,852,48,20,6,18,"1,518"
"Chesapeake City",-,"47 - Green Sea (CD 4)",238,632,53,8,4,6,941
"Chesapeake City",-,"48 - Jolliff Middle School (CD 4)","1,537",181,23,8,11,17,"1,777"
"Chesapeake City",-,"49 - Waterway (CD 4)","1,186","1,465",87,32,27,22,"2,819"
"Chesapeake City",-,"50 - River Walk (CD 4)",851,688,68,27,16,19,"1,669"
"Chesapeake City",-,"51 - Coopers Way (CD 4)",457,"1,519",58,19,10,7,"2,070"
"Chesapeake City",-,"52 - Shipyard Road (CD 4)",896,687,62,21,10,11,"1,687"
"Chesapeake City",-,"53 - Fairways (CD 3)",551,486,37,15,19,8,"1,116"
"Chesapeake City",-,"54 - Pughsville (CD 3)","1,082",466,44,10,10,12,"1,624"
"Chesapeake City",-,"55 - Georgetown East (CD 3)",736,247,13,8,9,2,"1,015"
"Chesapeake City",-,"56 - Green Tree (CD 3)",779,553,33,18,7,17,"1,407"
"Chesapeake City",-,"57 - Cypress (CD 3)",854,642,68,28,10,14,"1,616"
"Chesapeake City",-,"58 - Expressway (CD 4)",433,198,23,8,5,4,671
"Chesapeake City",-,"59 - Clearfield (CD 4)",484,615,36,21,6,8,"1,170"
"Chesapeake City",-,"60 - Parker Road (CD 4)",636,"1,486",75,29,11,24,"2,261"
"Chesapeake City",-,"61 - Centerville (CD 4)",379,"1,034",46,20,9,12,"1,500"
"Chesapeake City",-,"62 - Fentress (CD 4)",546,"1,219",77,22,11,19,"1,894"
"Chesapeake City",-,"63 - Poplar Branch (CD 4)",251,877,47,6,5,8,"1,194"
"Chesapeake City",-,"AB - Central Absentee Precinct (CD 3)","4,171","1,847",120,51,32,35,"6,256"
"Chesapeake City",-,"Ab - Central Absentee Precinct (CD 4)","4,233","4,316",257,79,33,52,"8,970"
"Chesapeake City",-,"Provisional (CD 3)",23,14,2,1,1,0,41
"Chesapeake City",-,"Provisional (CD 4)",41,41,3,1,1,0,87
"Chesterfield County",-,"101 - Bellwood (CD 4)",631,711,35,11,5,9,"1,402"
"Chesterfield County",-,"102 - South Chester (CD 4)",955,"1,149",70,22,18,18,"2,232"
"Chesterfield County",-,"103 - Enon (CD 4)","1,026","1,648",66,16,17,18,"2,791"
"Chesterfield County",-,"104 - North Chester (CD 4)",828,"1,505",83,31,14,6,"2,467"
"Chesterfield County",-,"105 - Drewrys Bluff (CD 7)","1,017",672,43,15,16,10,"1,773"
"Chesterfield County",-,"106 - Harrowgate (CD 4)","1,561","1,479",74,33,15,20,"3,182"
"Chesterfield County",-,"107 - Wells (CD 4)","1,032","1,015",57,17,10,15,"2,146"
"Chesterfield County",-,"108 - Ecoff (CD 4)","1,033","1,701",79,41,16,17,"2,887"
"Chesterfield County",-,"109 - Elizabeth Scott (CD 4)","1,453","1,649",90,25,13,23,"3,253"
"Chesterfield County",-,"110 - Dutch Gap (CD 4)",620,769,46,18,7,13,"1,473"
"Chesterfield County",-,"111 - Iron Bridge (CD 4)","1,425","1,656",91,34,18,25,"3,249"
"Chesterfield County",-,"112 - Carver (CD 4)",885,873,55,23,6,12,"1,854"
"Chesterfield County",-,"201 - Gates (CD 4)",680,954,57,13,9,7,"1,720"
"Chesterfield County",-,"202 - Beulah (CD 7)","1,452",812,57,21,12,17,"2,371"
"Chesterfield County",-,"203 - Bird (CD 4)",288,416,20,7,5,9,745
"Chesterfield County",-,"204 - Jacobs (CD 7)",720,662,47,19,16,13,"1,477"
"Chesterfield County",-,"205 - Falling Creek (CD 7)","1,627",741,43,11,20,10,"2,452"
"Chesterfield County",-,"206 - Belmont (CD 7)","1,108",215,33,11,17,5,"1,389"
"Chesterfield County",-,"207 - Chippenham (CD 7)",568,192,16,4,6,5,791
"Chesterfield County",-,"208 - Meadowbrook (CD 7)","1,448",593,44,6,12,5,"2,108"
"Chesterfield County",-,"209 - Salem Church (CD 4)","1,139","1,388",107,24,15,12,"2,685"
"Chesterfield County",-,"210 - Five Forks (CD 7)","1,695","1,037",99,31,20,18,"2,900"
"Chesterfield County",-,"211 - Nash (CD 4)",953,"1,794",102,14,8,10,"2,881"
"Chesterfield County",-,"212 - St. Luke's (CD 7)",572,659,30,14,5,4,"1,284"
"Chesterfield County",-,"213 - Southside (CD 7)","2,479",656,64,12,20,17,"3,248"
"Chesterfield County",-,"214 - Hopkins (CD 7)",288,44,10,0,2,3,347
"Chesterfield County",-,"215 - North Bird (CD 7)",587,269,24,5,8,2,895
"Chesterfield County",-,"301 - Ettrick (CD 4)","2,411",455,33,11,20,26,"2,956"
"Chesterfield County",-,"302 - Deer Run (CD 7)",350,603,43,13,5,5,"1,019"
"Chesterfield County",-,"303 - Matoaca (CD 4)","1,261","1,400",34,12,14,9,"2,730"
"Chesterfield County",-,"304 - Winfrees Store (CD 4)",707,"1,996",56,12,5,8,"2,784"
"Chesterfield County",-,"305 - Beach (CD 4)",203,711,28,10,2,6,960
"Chesterfield County",-,"306 - Winterpock (CD 7)",657,"2,039",84,29,11,9,"2,829"
"Chesterfield County",-,"307 - Cosby (CD 7)","1,197","1,629",116,49,21,17,"3,029"
"Chesterfield County",-,"308 - South Manchester (CD 7)",441,373,29,16,9,7,875
"Chesterfield County",-,"309 - Skinquarter (CD 7)","1,142","2,315",158,41,11,21,"3,688"
"Chesterfield County",-,"310 - Tomahawk (CD 7)",933,"1,318",112,37,15,17,"2,432"
"Chesterfield County",-,"313 - Woolridge (CD 7)","1,197","1,681",127,43,13,27,"3,088"
"Chesterfield County",-,"315 - Bailey Bridge (CD 7)",676,"1,675",85,24,12,8,"2,480"
"Chesterfield County",-,"316 - Spring Run (CD 7)",887,"1,345",101,39,13,16,"2,401"
"Chesterfield County",-,"317 - Birkdale (CD 7)","1,034","1,639",79,36,8,8,"2,804"
"Chesterfield County",-,"318 - West Beach (CD 7)",311,478,18,6,5,2,820
"Chesterfield County",-,"401 - Harbour Pointe (CD 7)",578,766,67,16,5,15,"1,447"
"Chesterfield County",-,"402 - Genito (CD 7)","1,693","1,871",133,40,26,25,"3,788"
"Chesterfield County",-,"403 - Brandermill (CD 7)","1,069","1,234",115,32,21,27,"2,498"
"Chesterfield County",-,"404 - Providence (CD 7)","1,077",904,99,31,7,11,"2,129"
"Chesterfield County",-,"405 - La Prade (CD 7)",987,"1,125",105,20,9,6,"2,252"
"Chesterfield County",-,"406 - Smoketree (CD 7)",745,"1,040",111,27,13,13,"1,949"
"Chesterfield County",-,"407 - Monacan (CD 7)",537,712,53,22,7,16,"1,347"
"Chesterfield County",-,"408 - Reams (CD 7)","1,676","1,099",102,40,23,15,"2,955"
"Chesterfield County",-,"409 - Manchester (CD 7)",629,532,37,20,2,5,"1,225"
"Chesterfield County",-,"410 - Wagstaff (CD 7)",622,650,52,22,11,7,"1,364"
"Chesterfield County",-,"411 - Swift Creek (CD 7)",966,"1,149",113,28,14,14,"2,284"
"Chesterfield County",-,"413 - Shenandoah (CD 7)",948,890,95,32,26,9,"2,000"
"Chesterfield County",-,"414 - Crenshaw (CD 7)","1,418","1,821",119,32,29,12,"3,431"
"Chesterfield County",-,"415 - Evergreen (CD 7)","1,018","1,229",110,47,24,15,"2,443"
"Chesterfield County",-,"416 - Evergreen West (CD 7)",571,532,42,22,4,5,"1,176"
"Chesterfield County",-,"417 - Edgewater (CD 7)",474,547,58,9,9,6,"1,103"
"Chesterfield County",-,"501 - Huguenot (CD 7)",805,657,78,47,17,13,"1,617"
"Chesterfield County",-,"502 - Crestwood (CD 7)",560,583,66,10,17,5,"1,241"
"Chesterfield County",-,"503 - Midlothian (CD 7)",850,"1,255",96,26,5,14,"2,246"
"Chesterfield County",-,"504 - Robious (CD 7)","1,293","1,729",154,57,15,23,"3,271"
"Chesterfield County",-,"505 - Bon Air (CD 7)","1,134","1,041",111,37,19,22,"2,364"
"Chesterfield County",-,"506 - Greenfield (CD 7)","1,121",964,128,37,14,14,"2,278"
"Chesterfield County",-,"507 - Salisbury (CD 7)","1,086","1,696",155,35,6,21,"2,999"
"Chesterfield County",-,"508 - Belgrade (CD 7)","1,006","1,092",108,23,12,14,"2,255"
"Chesterfield County",-,"509 - Cranbeck (CD 7)",826,620,63,25,14,7,"1,555"
"Chesterfield County",-,"510 - Sycamore (CD 7)",929,"1,280",137,52,15,23,"2,436"
"Chesterfield County",-,"511 - Black Heath (CD 7)",597,844,91,14,6,24,"1,576"
"Chesterfield County",-,"513 - Beaufont (CD 7)",775,304,38,12,12,11,"1,152"
"Chesterfield County",-,"514 - Watkins (CD 7)","1,034","1,443",143,59,22,17,"2,718"
"Chesterfield County",-,"515 - Davis (CD 7)","1,416",360,34,11,16,4,"1,841"
"Chesterfield County",-,"516 - Pocoshock (CD 7)",913,278,27,15,6,6,"1,245"
"Chesterfield County",-,"517 - Roseland (CD 7)",275,437,39,10,2,7,770
"Chesterfield County",-,"518 - Midlothian North (CD 7)",873,"1,432",113,37,5,23,"2,483"
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 4)","2,880","2,952",139,50,11,38,"6,070"
"Chesterfield County",-,"Ab - Central Absentee Precinct (CD 7)","6,138","4,997",465,150,51,104,"11,905"
"Chesterfield County",-,"Provisional (CD 4)",29,26,0,0,0,1,56
"Chesterfield County",-,"Provisional (CD 7)",49,38,6,1,1,0,95
"Clarke County",-,"101 - Russell",423,"1,006",39,19,9,12,"1,508"
"Clarke County",-,"201 - Berryville",572,630,55,24,13,7,"1,301"
"Clarke County",-,"301 - Millwood",378,588,39,11,5,11,"1,032"
"Clarke County",-,"302 - Pine Grove",161,278,17,8,3,5,472
"Clarke County",-,"401 - White Post",506,814,44,7,7,16,"1,394"
"Clarke County",-,"501 - Buckmarsh",380,605,32,10,10,3,"1,040"
"Clarke County",-,"502 - Blue Ridge",144,231,11,11,2,7,406
"Clarke County",-,"Ab - Central Absentee Precinct",483,505,24,21,6,13,"1,052"
"Clarke County",-,Provisional,4,4,0,0,0,0,8
"Colonial Heights City",-,"1 - First",394,667,38,13,13,4,"1,129"
"Colonial Heights City",-,"2 - Second",304,870,39,12,8,3,"1,236"
"Colonial Heights City",-,"3 - Third",451,963,35,18,10,10,"1,487"
"Colonial Heights City",-,"4 - Fourth",536,"1,103",46,15,6,8,"1,714"
"Colonial Heights City",-,"5 - Fifth",351,"1,250",55,18,4,4,"1,682"
"Colonial Heights City",-,"Ab - Central Absentee Precinct",331,828,34,12,3,1,"1,209"
"Colonial Heights City",-,Provisional,0,0,0,0,0,0,0
"Covington City",-,"101 - Precinct 1-1",127,197,9,4,1,0,338
"Covington City",-,"201 - Precinct 2-1",170,211,12,3,1,6,403
"Covington City",-,"301 - Precinct 3-1",216,149,13,1,3,0,382
"Covington City",-,"401 - Precinct 4-1",178,339,15,9,0,4,545
"Covington City",-,"501 - Precinct 5-1",148,359,18,6,1,1,533
"Covington City",-,"Ab - Central Absentee Precinct",75,94,6,2,2,2,181
"Covington City",-,Provisional,0,0,0,0,0,0,0
"Craig County",-,"101 - Court House",86,415,9,4,4,2,520
"Craig County",-,"201 - Ammendale Precinct",95,485,12,8,2,2,604
"Craig County",-,"301 - Givens & Reynolds Store",91,226,7,4,2,0,330
"Craig County",-,"303 - Marshalls Store",70,180,6,4,2,1,263
"Craig County",-,"401 - Barbours Creek",45,169,6,6,4,3,233
"Craig County",-,"402 - Paint Bank",16,31,1,0,0,0,48
"Craig County",-,"403 - Craig Springs",55,185,5,0,1,0,246
"Craig County",-,"501 - Craig City",83,448,8,4,5,1,549
"Craig County",-,Provisional,0,1,0,0,0,0,1
"Culpeper County",-,"101 - West Fairfax","1,076","1,254",75,33,24,12,"2,474"
"Culpeper County",-,"201 - East Fairfax","1,092",983,54,15,17,12,"2,173"
"Culpeper County",-,"302 - Eggbornsville",328,909,28,16,11,4,"1,296"
"Culpeper County",-,"303 - Cardova",283,669,26,7,9,1,995
"Culpeper County",-,"304 - Willow Shade",204,274,10,7,3,3,501
"Culpeper County",-,"401 - Eldorado",362,877,23,10,14,6,"1,292"
"Culpeper County",-,"402 - Browns Store",566,"1,294",45,25,11,8,"1,949"
"Culpeper County",-,"501 - Jeffersonton",490,"1,136",54,27,8,9,"1,724"
"Culpeper County",-,"502 - Rixeyville",414,"1,104",49,22,12,8,"1,609"
"Culpeper County",-,"601 - Mitchells",91,172,5,2,4,0,274
"Culpeper County",-,"602 - Pearl Sample",617,"1,087",45,21,6,7,"1,783"
"Culpeper County",-,"603 - South Ridge",257,301,24,12,4,6,604
"Culpeper County",-,"702 - Brandy Station",430,"1,126",46,7,12,12,"1,633"
"Culpeper County",-,"703 - Lignum",254,589,27,3,7,2,882
"Culpeper County",-,"704 - Richardsville",105,338,3,5,3,0,454
"Culpeper County",-,"Ab - Central Absentee Precinct","1,179","1,230",70,30,31,18,"2,558"
"Culpeper County",-,Provisional,11,6,0,0,0,0,17
"Cumberland County",-,"101 - Precinct 1",393,568,24,3,6,6,"1,000"
"Cumberland County",-,"201 - Precinct 2",295,638,21,8,6,7,975
"Cumberland County",-,"301 - Precinct 3",506,345,13,7,3,3,877
"Cumberland County",-,"401 - Precinct 4",322,535,15,6,1,3,882
"Cumberland County",-,"501 - Precinct 5",370,422,18,5,4,3,822
"Cumberland County",-,"Ab - Central Absentee Precinct",148,187,3,3,4,0,345
"Cumberland County",-,Provisional,2,2,1,0,0,0,5
"Danville City",-,"1 - Ward One",384,49,4,2,2,2,443
"Danville City",-,"2 - Ward Two",322,186,10,12,4,5,539
"Danville City",-,"3 - Ward Three",728,283,26,10,6,5,"1,058"
"Danville City",-,"4 - Ward Four",953,857,37,16,3,7,"1,873"
"Danville City",-,"6 - Ward Six",468,57,4,0,1,2,532
"Danville City",-,"7 - Ward Seven",800,133,7,7,5,2,954
"Danville City",-,"8 - Ward Eight",586,283,12,4,2,2,889
"Danville City",-,"9 - Ward Nine",430,347,9,4,2,0,792
"Danville City",-,"10 - Ward Ten",602,448,20,5,6,1,"1,082"
"Danville City",-,"11 - Ward Eleven",976,483,24,10,9,7,"1,509"
"Danville City",-,"12 - Ward Twelve",971,615,26,5,8,6,"1,631"
"Danville City",-,"13 - Ward Thirteen",894,440,23,9,9,9,"1,384"
"Danville City",-,"14 - Ward Fourteen",234,6,0,0,2,0,242
"Danville City",-,"15 - Ward Fifteen",622,603,25,1,4,6,"1,261"
"Danville City",-,"16 - Ward Sixteen",578,817,27,11,2,5,"1,440"
"Danville City",-,"17 - Ward Seventeen",335,854,17,3,5,4,"1,218"
"Danville City",-,"Ab - Central Absentee Precinct","1,168",835,44,18,3,22,"2,090"
"Danville City",-,Provisional,8,7,0,0,0,0,15
"Dickenson County",-,"101 - South Clintwood",241,901,20,7,3,10,"1,182"
"Dickenson County",-,"201 - Nora",63,305,4,5,1,3,381
"Dickenson County",-,"202 - Frying Pan",21,138,1,0,0,2,162
"Dickenson County",-,"203 - Clinchco",119,418,4,6,2,3,552
"Dickenson County",-,"301 - West Dante",16,161,4,1,1,0,183
"Dickenson County",-,"302 - Herald",36,307,0,2,0,4,349
"Dickenson County",-,"303 - Ridge",92,528,7,2,1,2,632
"Dickenson County",-,"401 - Haysi-colley",264,748,17,6,1,4,"1,040"
"Dickenson County",-,"501 - Tarpon",78,200,9,3,1,1,292
"Dickenson County",-,"502 - North Clintwood",163,689,11,5,1,5,874
