County/City,Ward,Pct,"Hillary R. Clinton","Donald J. Trump","Gary Johnson","Evan McMullin","Jill Stein","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian,Independent,Green
"Virginia Beach City",-,"98 - Independence",552,345,51,13,11,7,979
"Virginia Beach City",-,"Ab - Central Absentee Precinct","14,149","13,964",955,260,165,246,"29,739"
"Virginia Beach City",-,Provisional,149,126,11,8,7,5,306
"Warren County",-,"101 - Fork Town",360,637,29,13,13,6,"1,058"
"Warren County",-,"102 - Otterburn",479,"1,521",50,27,11,9,"2,097"
"Warren County",-,"201 - Happy Creek",539,"1,167",50,28,9,19,"1,812"
"Warren County",-,"202 - Linden",466,"1,033",79,21,22,21,"1,642"
"Warren County",-,"301 - North River",484,888,49,15,12,11,"1,459"
"Warren County",-,"302 - Riverton",379,"1,077",22,11,4,12,"1,505"
"Warren County",-,"401 - East Shenandoah",510,"1,732",59,41,26,26,"2,394"
"Warren County",-,"402 - Town - West Shenandoah",320,727,25,15,14,12,"1,113"
"Warren County",-,"501 - South River",639,"1,167",60,25,15,12,"1,918"
"Warren County",-,"502 - Bentonville",167,495,23,4,7,3,699
"Warren County",-,"504 - Browntown",150,383,9,7,2,3,554
"Warren County",-,"Ab - Central Absentee Precinct",672,935,39,15,14,18,"1,693"
"Warren County",-,Provisional,4,11,1,0,0,0,16
"Washington County",-,"101 - East Abingdon",580,"1,420",55,17,11,18,"2,101"
"Washington County",-,"102 - West Abingdon",342,749,22,14,4,2,"1,133"
"Washington County",-,"201 - Clinchburg",101,588,13,5,2,2,711
"Washington County",-,"202 - Greendale",180,941,12,13,4,2,"1,152"
"Washington County",-,"203 - Hayters Gap",63,357,4,7,1,1,433
"Washington County",-,"204 Woodland Hills",242,776,14,11,5,2,"1,050"
"Washington County",-,"301 - Watauga",396,"1,361",46,20,2,8,"1,833"
"Washington County",-,"302 - South Abingdon",507,"1,108",41,19,14,14,"1,703"
"Washington County",-,"401 - Glade Spring",287,"1,052",29,8,2,4,"1,382"
"Washington County",-,"402 - Meadowview",373,"1,218",36,12,5,12,"1,656"
"Washington County",-,"501 - Rhea Valley",323,"1,644",30,11,8,7,"2,023"
"Washington County",-,"502 - Damascus",259,687,27,9,5,2,989
"Washington County",-,"504 - Green Cove",30,133,4,0,2,1,170
"Washington County",-,"601 - Burson Place",197,"1,407",40,13,6,2,"1,665"
"Washington County",-,"602 - Mendota",46,273,9,5,2,11,346
"Washington County",-,"603 - Valley Institute",200,"1,005",20,9,2,7,"1,243"
"Washington County",-,"701 - High Point",190,"1,102",24,10,0,4,"1,330"
